id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
51739,The Secret World of Arrietty,2010-07-16,23000000,145570827,Released,Do not be seen by humans. That's been the law of children of the underfloor.,94,1.8564E+01,ja,http://disney.go.com/official-sites/arrietty/index,false,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",日本語,Japan,"Studio Ghibli,Hakuhodo DY Media Partners,Mitsubishi Shoji,The Walt Disney Company,Dentsu,Toho Company, Ltd.,Nippon Television Network Corporation","Fantasy,Animation,Family"
7984,In the Name of the Father,1993-12-12,13000000,65796862,Released,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father’s name.,133,1.3399E+01,en,,false,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",English,"United Kingdom,Ireland","Hell's Kitchen Films,Universal Pictures",Drama
29715,Major Dundee,1965-04-07,3800000,14873,Released,,123,7.701E+00,en,,false,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.","Español,Français,English",United States of America,"Jerry Bresler Productions,Columbia Pictures","War,Western"
17654,District 9,2009-08-05,30000000,210819611,Released,You are not welcome here.,112,1.7364E+01,en,http://www.d-9.com/,false,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.","Afrikaans,,,,isiZulu,English","United States of America,New Zealand,Canada,South Africa","TriStar Pictures,Block / Hanson,WingNut Films,The Canadian Film or Video Production Tax Credit (CPTC),District 9,Key Creatives,New Zealand Post Digital and Visual Effects Grant,QED International,The Department of Trade and Industry of South Africa",Science Fiction
1633,Fried Green Tomatoes,1991-12-27,11000000,119418501,Released,The secret of life? The secret's in the sauce.,130,1.1543E+01,en,,false,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",English,United States of America,Universal Pictures,"Drama,Comedy"
1542,Office Space,1999-02-19,10000000,10827810,Released,Work sucks.,89,1.3241E+01,en,,false,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,English,United States of America,"Cubicle Inc.,20th Century Fox",Comedy
4234,Scream 3,2000-02-03,40000000,161834276,Released,Someone has taken their love of trilogies one step too far.,116,1.3907E+01,en,,false,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.",English,United States of America,"Craven-Maddalena Films,Dimension Films,Konrad Pictures","Horror,Mystery"
49519,The Croods,2013-03-20,135000000,587204668,Released,Meet the first modern family.,98,1.8526E+01,en,http://www.thecroodsmovie.com/,false,"The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",English,United States of America,DreamWorks Animation,"Action,Adventure,Animation,Comedy,Family,Fantasy"
11770,Shaolin Soccer,2001-07-12,10000000,42776760,Released,Get ready to kick some grass!,113,1.5544E+01,cn,,false,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,"广州话 / 廣州話,普通话,ภาษาไทย","China,Hong Kong","Star Overseas,Universe Entertainment","Action,Comedy"
6278,Reign of Fire,2002-07-12,60000000,82150183,Released,Fight Fire With Fire,101,1.6474E+01,en,,false,"In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.",English,"Ireland,United Kingdom,United States of America","The Zanuck Company,Spyglass Entertainment,World 2000 Entertainment,Touchstone Pictures,Tripod Entertainment","Adventure,Action,Fantasy"
