id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
291319,A Long Way Off,2014-06-06,500000,28951,Released,The Modern day Story of the Prodigal Son,105,2.539E+00,en,,false,"Jacob is tired of living on the family farm, submitting to the rules of his father. One day he demands an early inheritance from his father, who shocks his young son by agreeing to give it to him. So, he heads to the big city doing things his way without restraint, and for a while he does well-surprisingly well. He takes huge business risks and converts his small fortune into a big fortune, despite his extremely flamboyant lifestyle that attracts the wrong women, including seductive Laura, whose rich boyfriend Frank is often dangerously nearby. Jake had it all: money, ladies, prestige-but then-he loses it all and just when he things he's hit bottom the bottom drops some more- until he is eating out of dumpsters and eventually ends up living in a literal pig pen. Coming to his senses he heads home, determined to work in an entry level position for his dad, who surprises him once again by running to him-but is it to kiss him or kill him?",English,United States of America,"Uptone Pictures,Prodigafilm","Romance,Drama,Family"
112936,Bol Bachchan,2012-07-06,12,17,Released,,155,2.153E+00,hi,,false,"Abbas Ali (Abhishek Bachchan) lives in Chandni Chowk, New Delhi with his sister Sania (Asin Thottumkal). They are legally fighting for an ancestral property— land case. But the odds turn against them and they lose. Their well wisher, Shastri Chacha, advises and convinces them to migrate to his village Ranakpur where he assures Abbas that he will get him a job at his owner's place. The owner being none other than the powerful Prithviraj Raghuvanshi (Ajay Devgn). Abbas enters Ranakpur village and while saving a child trapped inside a temple, he breaks open the lock of an ancestral temple but fate plays an important twist in Abbas' life as the whole village including Prithviraj's step-brother Vikrant opposes Abbas' actions but Prithviraj arrives and handles the situation.",हिन्दी,India,,"Comedy,Action"
292431,Love,2015-07-06,3000000,249083,Released,,134,2.774E+00,en,,false,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the seismic effect it will have on their relationship, they invite their pretty neighbor into their bed.",English,"Belgium,France","Wild Bunch,Les Cinémas de la Zone,RT Features,Rectangle Productions,SCOPE Pictures","Drama,Romance"
672815,ALL COPS AIN'T BAD,2020-01-01,100000,350000,Released,This Officer Keeps It Real,0,1.598E+00,en,,false," Everyone's heard the story from comedians about the convict or arrestee, NEVER have you heard the story from the actual Cop.  You heard right! How about hearing these gut busting stories from a real ""OFFICER"". Watch Comedian Daryll Triplett aka Officer Keep It Real as he does nothing, but Keep It Real....",,United States of America,VH2 Networks,Comedy
72152,Aarakshan,2011-08-12,6100000,7900000,Released,,164,1.984E+00,hi,,false,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,हिन्दी,India,"Base Industries Group,Prakash Jha Productions","Drama,Thriller"
321187,High School Musical: The Challenge,2010-02-05,50000,1149000,Released,More dreams to conquer,90,1.693E+00,pt,,false,"A new school year begins; students are invited to the first music competition, but only one band can win.",Português,"Argentina,Brazil","Total Entertainment,Walt DIsney Motion Pictures International,Walt Disney Pictures","Music,Romance"
72663,Nirvana,2008-06-24,2000000,273137,Released,,93,1.526E+00,ru,,false,"Young Alisa is fed up with her life in Moscow, and moves to St. Petersburg. Her roommates in the collective flat are two junkies, Vel and her boyfriend Valera the Dead Man. First they fight, but soon the two women form a friendship. Together they even go after the Petersburg underworld when Dead Man is abducted because he can't pay his debts.",Pусский,Russia,,"Drama,Romance"
131677,The Outlander,2005-04-22,7000000,2866324,Released,Nevemind!,138,1.168E+00,fr,,false,"It is the early 20th century. A stranger arrives in the small, rural community and disrupts the lives of its inhabitants. The man, who refuses to give his name, is dubbed The Outlander. A traveller who disdains conventional behaviour and parochialism, The Outlander disturbs the villagers' complacency and scandalizes the community; he also elicits admiration and gains a woman's love. He ultimately leaves in the same manner he had arrived, but not before he has helped the villagers open their eyes to the larger world beyond their village.",Français,Canada,,
26916,Mercy Streets,2000-10-31,600000,173599,Released,,106,8.21E-01,en,,false,"Estranged twin brothers - one a con man, the other an Episcopal deacon - accidentally switch places... and find God in the process.",Deutsch,,,"Action,Adventure,Drama"
224746,Bekas,2012-11-30,2176270,479226,Released,The American Dream is waiting just around the corner,97,2.116E+00,ku,,false,"This is a story about two homeless brothers (Zana, 7) and (Dana, 10) who live on the edge of survival. In the beginning of the story they catch a glimpse of Superman through a hole in the wall at the local cinema. Zana and Dana decide that they want to go to America and live with Superman. Once they get there he can solve all their problems, make their lives easy and punish everyone that has been mean to them. Zana, the younger brother, starts to make a list of all people he is going to tell Superman to punish. On top of the list is Saddam Hussein. Dana on the other hand makes a concrete plan for what they need to get there; money, passports, transportation and a way to get across the boarder. Unfortunately they have neither of those. But in spite of everything they decide to follow the dream. Written by Karzan Kader",,"Sweden,Finland,Iraq","Sonet Film,Helsinki Filmi,Film i Väst,Ava Media,FS Film,SVT",Drama
